번호,운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,문의처,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
1,목포가톨릭대학교,목포한사랑병원산학협력장학금,대학교,장학금,기타, - 061-280-5103,"4년제(5~6년제포함),특정대학","대학7학기,대학8학기이상",특정학과,,, - 연간 6000000원 (한 학기당 3000000원)/  복무조건으로 등록금과는 무관, - 2019. 02월 간호학과 졸업예정자로 성적이 우수하고 품행이 단정한 자 - 지도교수의 추천을 받은자 - 졸업후 본원에서 2년 이상 장기근무 가능한자,, - 2018-09-11~2019-01-01,,,, - 지도교수의 추천, - 이력서 - 성적증명서 - 교수추천서
2,한국장학재단,인문100년장학금,한국장학재단,장학금,성적우수, - 우수장학부 1599-2290,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학신입생","교육계열,사회계열,인문계열", * 계속장학생(전공확립유형) - 백분위 87점 이상 또는 평점 3.50/4.5만점(3.30이상/4.3만점)  - 최소이수학점 기준 : 직전학기 12학점 이상 * 장학생 중간 평가(2+2) 대상자 - 계절학기 및 재수강 취득 성적을 포함하여 직전 2년간(1∼2학년) 4개 학기(5년제는 5개학기) 성적이 백분위 87점 이상 또는 평점 3.5이상/4.5만점(3.3이상/4.3만점) 성적기준 충족시 나머지 2년간 계속 지원  ※ 자세한 사항은 한국장학 홈페이지 참고,," - 등록금 : 장학생 선정 후 매학기별 등록금 전액 지원 (입학금, 수업료, 기성회비) - 생활비 : 2019년 이후 선발된 장학생은 계속지원 충족 및 대학의 학생 자체평가 후 학기당 2,000,000원 지원  - 기초생활수급자 : 계속지원 기준을 충족하는 기초생활수급자는 학기당 2,000,000원 추가지원", * 대한민국 국적소지자로서 국내 4년제 대학의 인문사회계열 학과(부)에 재학중인 1학년 신입생 또는 3학년 - 전공탐색 : 1학년 신입생 - 전공확립 : 3학년 재학생,, - 2020-05-11 ~ 2020-06-02, - 대학별 배정인원 범위 내에서 선발기준에 따라 대학별 자체 선발, - 1500명 내외 ※ 학교마다 선발하는 인원이 상이하므로 장학부서에 확인 필수, - 인문100년 장학금 장학생 자격 유지자 또는 기존 인문 100년장학생으로 선발된 후 영구탈락 된 학생 - 한국장학재단에서 운영중인 타 장학금 기수혜자 또는 장학생 자격 유지자 - 계약학과(등록금전액/일부지원) 선발제외 ※ 자세한 사항 첨부파일 참고,," - 신규장학생: 전공탐색유형, 전공확립유형 : 학업계획서, 전인적성장계획서  - 재학중 우수자: 대학자체선발 : 재단으로 직접 제출하는 서류 없음  - 계속장학생: 중간평가(2+2) : 중간평가서, 학업장려비 : 진도보고서, 교수평가서 ※ 자세한 사항은 한국장학재단 홈페이지 참고"
3,한국장학재단,우수학생 해외유학장학금,한국장학재단,장학금,성적우수, - 1599-2290,"4년제(5~6년제포함),전문대(2~3년제),해외대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신청 시점을 기준으로 고교 재학 중 직전학기까지 전체 학기 동안 이수한 국어,영어,수학,과학,사회,전문교과* 과목 중 석차 3등급 이내 또는 성취도(학점) A이상인 과목들의 이수단위 합계가 24단위 이상(3학년) 또는 12단위 이상(2학년)*특성화고 또는 예체능 고만 포함", - 신청일 기준 기초생활수급자 또는 차상위계층인 자,"* 유학준비생 (고등학생·국내장학생) - 해외대학 진학을 위한 학업장려비 2학년 월 500,000원, 3학년 월 700,000원 매월 지원* 유학생 (대학생·해외장학생) - 연간 최대 6만 USD('학비+체재비' 범위 내), 항공료 별도(2년 내 5천 USD 이내, 4년 내 1만 USD 이내) * 자세한 사항은 홈페이지 참조"," - 대한민국 국적 - 국내 고교 2,3학년 재학(예정)자 중 해외대학 입학을 희망하는 저소득층(기초생활수급자, 차상위계층) 우수고등학생 * 2021년 2월, 2022년 2월 졸업 예정자 * 선정일 기준 기초생활수급자 또는 차상위계층인 자",, - 2020-03-11 ~ 2020-05-07," - 서류심사 → 인·적성검사 → 심층면접심사 - 학업실적, 발전가능성, 유학에 대한 의지 등을 종합적으로 평가", - 00명," - 주민등록상 해외이주 신고자, 영주권자 제외 - 교육부 비인가 고등학교 및 외국계 고등학교 제외",, - 보호자 개인정보 동의서 - 학교생활기록부 - 자기소개 - 교사의견서 - 기초생활수급자 또는 차상위계층증명서 (택1)  * 자세한 사항은 홈페이지 참조
4,국립국제교육원,GKS외국정부초청장학생,관계부처,장학금,기타,02-3668-1353,"4년제(5~6년제포함),일반대학원,해외대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,박사과정,석사2학기이상,석사신입생(1학기),연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음","유학국 언어 능력, 영어 TEPS, 전공능력(학점)",,1. 장학금 지원 내역 - 학비 면제 - 항공료 제공 - 생활비 지급 - 보험료 지원 기준*  국가별로 상이하므로 홈 페이지 확인 요망,"1. 학사(러시아, 터키, 스리랑카 등)2. 석박사(중국, 러시아, 일본, 독일, 프랑스 등)",,국가별로 상이하므로 홈 페이지 선발 요강 참조,1. 1차 지원-전자문서로 지원2. 1차 합격 후-서류를 갖춰 제출 혹은 직접 공관으로 발송,"학사(러시아, 터키 항공대, 스리랑카), 석박사",,,
5,국립국제교육원,국비유학생,관계부처,장학금,기타, - 상기선발공고 내용 문의는 메일로 piazza31@korea.kr - 시스템 장애시에만 02-3668-1441,제한없음,"대학8학기이상,박사과정,석사2학기이상,석사신입생(1학기)","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 꿈나래 전형의 경우 수급권자·차상위계층·한부모지원대상자, - 국가별 차이있음. 첨부자료 확인. (1년 단위로 장학금 지급)," - 한국사능력검정시험 3급(또는 4급) 이상인 사람 - 외국어 시험 성적(첨부파일 참고)을 충족하는 사람 - 국내대학 졸업자, 졸업예정자 또는 이와 같은 수준 이상의 학력이 있는 자",, - 2020-05-21 ~ 2020-06-03, - 1차 서류심사 - 2차 면접시험, - 일반전형 : 40명 - 꿈나래전형 : 20명 - 기술기능인 전형 : 4명, - 원격대학 및 기술대학의 경우 전문학사학위를 받았거나 받을 예정인 사람은 제외 - 남자는 군필 또는 면제자 - 이중국적자의 경우 국비유학 전까지 외국국적을 포기해야 함 - 자격취득과정은 지원불가," - 학교의 장의 추천 * 단, 독학자의 경우는 제외"," - 응시원서 - 대학졸업증명서  - 병적증명서 - 대학 전 과정 성적증명서 - 주민등록등본, 가족관계증명서 (공고일 이후 발급분) - 추천서 - 외국어 시험 성적표 - 지원분야 관련 대외활동 실적 기술서 및 증빙서류 - 국외수학 계획서 - 대학원 전 과정 성적증명서(대학원 졸업자만 해당) - 저소득층 특별선형 응시자격 입증서류(저소득측 특별전형 응시자해당) - 중소기업재직경력표(기술기능인 전형 응시다 해당) - 개인정보 제공 및 고유식별정보 처리 동의서 - 수험표 - 한국사능력검정시험 인증서(추후 제출) * 자세한 사항은 첨부자료 참고 필수"
6,국립국제교육원,GKS한일공동이공계학부유학생,관계부처,장학금,기타, - 국립국제교육원 글로벌인재양성부  - 02-3668-1383,해외대학,대학신입생,"공학계열,자연계열",,," - 예비교육과정 전 일본어예비교육비 지원 - 예비과정 1년 학부과정 4년으로 세부항목마다 지원금액이 나뉨 - 장학금 지급금액, 시기, 방법 등은 정부 예산사정과 양국정부의 합의에 따라 변동이 있을 수 있음  * 자세한 사항은 첨부자료 참고 필수"," - 고교졸업자 또는 2019년 2월 고등학교 졸업예정자, 고등학교를 졸업한 사람과 동등한 학력이 인정되는 자 ", - 대한민국 국적소지자, - 2018-04-02~2018-06-01, - 시/도 교육청 추천 - 필기시험 (1000명 이내) - 면접, - 100명," - 해외유학 중인 자, 전(前)년도 최종합격 등록 후 유학을 포기한 자 - 검정고시에 합격하고 6개월이 경과하지 아니한 자 (2018년 4월 시행 검정고시 합격자 지원 불가)", - 소속(출신) 학교장 및 시/도교육감 추천, - 선발시험 응시원서 1부(본원 소정 양식) - 서약서 1부(본원 소정 양식) 및 추천서 1부 - 개인정보 활용 동의서 1부(본원 소정 양식)
7,광주남구장학회,장학생,지자체,장학금,지역연고, - (재)광주남구장학회 사무국 062-607-2413,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 대학생 평균 2.75이상 (4.3만점은 평균 2.55이상), - 신청자 직계가족의 6개월 평균 납입 국민건강보험료가 2019년 기준 중위소득 150%이하인 가구," - 1인당 1,000,000원",," - 공고일 현재 광주광역시에 1년이상 주소를 둔 주민과 그 자녀 (남구 거주자 90%, 타구 거주자 10% 선발)", - 2019-08-14 ~ 2019-09-20, - 1차 심사(사무국) - 2차 심사(심사위원회 확정), - 대학생 25명, - 제21회 남구장학회 장학생으로 선발되어 장학금을 지원받은 학생 - 납부할 등록금이 100만원 미만인 경우 - 1가구 2인 이상이 선발대상자일 경우 1인만 선발 * 동일학기에 등록금을 초과한 이중수혜금은 환수조치 됨," - 대학교 총장(단, 단과대학 위임시는 단과대학장)"," - 장학생 신청서 - 장학생 추천서 - 자기소개서 - 주민등록등본 (부모와 주소다를경우, 가족관계증명서 추가제출) - 건강보험증 사본 또는 건강보험 자격확인서 - 건강보험료 납부확인서(최근 6개월분, 부모/학생 모두 포함) - 성적증명서 - 장학금수혜증명서 또는 비수혜증명서(2019년 1학기) - 등록금고지서 또는 납부확인서(2019년 1학기) - 개인(신용)정보 수집/이용/제공 및 조회 동의서 - 신청인 서약서 * 재단법인 남구장학회 사무국으로 방문 및 우편 접수 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
8,농파장학회,장학금,민간(기타),장학금,지역연고, - 055-762-8895,4년제(5~6년제포함),대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 학업성적이 우수한 자 , - 가정형편이 곤란한 자, - 4년간 등록금 전액 지급, - 4년제 국내 국공립 대학합격자, - 본적이 경남출신인 자, -2020-02-04 ~ 2020-02-07  16:00까지,, - 0명,"1. 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자2. 휴학2회 이상자, 성적불량자, 장학생으로 품위가 없는 자3. 불순단체 가입자4. 중간에 대학 또는 과 바꾼 자", - 출신 고등학교장,"1. 제출처(우편접수, 방문접수 가능 / 원서접수일 마지막날까지 도착을 원칙으로 합니다. 접수 마감일에 발송할경우 원서접수 불가능)경상남도 진주시 진주대로 932(칠암동) 칠암빌딩4층 농파장학회2. 제출서류 ▷출신고등학교장의 추천서 ▷자기 소개서  ▷서약서 ▷가족관계등록부1통 (학생본인의 본적이 나와있는) ▷수능성적표 첨부 (사본가능) ▷(추천서 포함)사진2매(3cm× 4cm) ▷신입생 입학금 및 등록금 납입고지서 영수증사본 1부"
9,재단법인 조준장학재단,장학생,민간(기타),장학금,기타," - 학교 추천장학이므로, 각 학교 장학부서에 문의",특정대학,"대학4학기,대학5학기",특정학과," - 평균평점 4.0이상인 자, 직전학기 취득학점이 17학점 이상",," - 등록금 전액(결격사유 없을시, 1년간 지급)"," - 2020-1학기 기준 3학년 진급 예정자 (등록기준 4회이상, 전체취득학점 68학점 이상) - 군 제대 후 복학한 남학생, 지방출신자 우선선발",, - 2020-01-15 ~ 2020-02-10* 학교 추천방식으로 신청 마감일자가 상이 할 수 있음,1차 서류전형/ 2차 면접전형, - 각 학교당 1명, - 국비장학금을 포함 기타 다른 장학금을 받지 않는자,"* 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.", - 장학생 지원 신청서 - 지도교수 추천서 - 자기소개서 - 성적증명서 - 재학증명서 - 주민등록 등본 1부(생년월일만 나올 수 있도록 발급) - 부모의 재산세과세증명서 또는 바과세증명서 - 개인정보수집동의서
10,이우장학회,우수장학생,민간(기타),장학금,지역연고, - 053-668-5572,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," 1. 재학생 : 4.5 만점 기준 3.0 이상, 4.3 만점 기준 2.8 이상, 4.0 만점 기준 2.5 이상 2. 신입생 - 수능 응시자 : 제2외국어/한문 영역을 제외한 4개영역의 백분위 평균이 75% 이상 - 수능 미응시자 : 고등학교 학업성적이 전 과목 평균 평점이 100점 만점에 80점 이상",, - 4년제 5000000원 - 2~3년제 3000000원," - 대학생 (4년제 대학교, 2~3년제) 성적 우수자자"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2018-11-19~2018-12-21,,, - 2019년 2월 대학 졸업예정자 제외 - 장학생 선발년도에 만 30세 이상이 되는 자 제외 - 대학원생 제외," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍/면장 추천 (장학생이 타 읍/면일 경우)"," - 장학생 선발 신청서 - 재학증명서(복학증명서) - 학교장(대학총장) 추천서 - 장학생이 타 읍면일 경우 읍면장 추천서 - 본인과 부모(조부모) 주민등록표 초본 각 1부(거주기간 확인용)    * 거주기간은 본인과 부모 기준(부모가 생존하지 않을 경우만 조부모 기간 적용) - 가족관계증명서(등록기준지가 가창면인 경우 및 다가구 자녀 확인용)   *  등록기준지가 가창면인 경우 또는 다가구 자녀일 경우만 발급 - 성적증명서(학교장 발행) - 체육 특기자 입증서류 (경기실적, 선수등록, 경기출전 증명서 각1부) - 본인과 부모(부모가 사망시에는 조부모)의 최근 1년간 세목별 지방세 과세 증명서(건물, 토지, 자동차에 관한 재산세) - 본인과 부모 中 장애인 증명서(1급~3급, 해당시) - 개인(신용)정보 수집,이용,제공 및 조회 동의서"
